name,lat,lon
Athens,37.9838,23.7275
Bangkok,13.7563,100.5018
Beijing,39.9042,116.4074
Berlin,52.5200,13.4050
Bogotá,4.7110,-74.0721
Brussels,50.8503,4.3517
Budapest,47.4979,19.0402
Buenos Aires,-34.6037,-58.3816
Cairo,30.0444,31.2357
Cape Town,-33.9249,18.4241
Chicago,41.8781,-87.6298
Copenhagen,55.6761,12.5683
Dubai,25.2048,55.2708
Dublin,53.3498,-6.2603
Edinburgh,55.9533,-3.1883
Geneva,46.2044,6.1432
Helsinki,60.1699,24.9384
Hong Kong,22.3193,114.1694
Houston,29.7604,-95.3698
Istanbul,41.0082,28.9784
Jakarta,-6.2088,106.8456
Johannesburg,-26.2041,28.0473
Kuala Lumpur,3.1390,101.6869
Lagos,6.5244,3.3792
Lima,-12.0464,-77.0428
Lisbon,38.7223,-9.1393
London,51.5074,-0.1278
Los Angeles,34.0522,-118.2437
Madrid,40.4168,-3.7038
Manila,14.5995,120.9842
Mexico City,19.4326,-99.1332
Moscow,55.7558,37.6173
Mumbai,19.0760,72.8777
New York,40.7128,-74.0060
Oslo,59.9139,10.7522
Paris,48.8566,2.3522
Prague,50.0755,14.4378
Rio de Janeiro,-22.9068,-43.1729
Rome,41.9028,12.4964
San Francisco,37.7749,-122.4194
Sao Paulo,-23.5505,-46.6333
Seoul,37.5665,126.9780
Singapore,1.3521,103.8198
Stockholm,59.3293,18.0686
Sydney,-33.8688,151.2093
Tokyo,35.6895,139.6917
Toronto,43.6532,-79.3832
Vienna,48.2082,16.3738
Warsaw,52.2297,21.0122
Zurich,47.3769,8.5417
